Time,Bits/s
2000-01-01 00:12:04,406
2000-01-01 00:12:05,417
2000-01-01 00:12:06,452
2000-01-01 00:12:07,476
2000-01-01 00:12:08,493
2000-01-01 00:12:09,502
2000-01-01 00:12:10,504
2000-01-01 00:12:11,522
2000-01-01 00:12:12,544
2000-01-01 00:12:13,557
2000-01-01 00:12:14,557
2000-01-01 00:12:15,571
2000-01-01 00:12:16,582
2000-01-01 00:12:17,589
2000-01-01 00:12:18,586
2000-01-01 00:12:19,566
2000-01-01 00:12:20,567
2000-01-01 00:12:21,591
2000-01-01 00:12:22,601
2000-01-01 00:12:23,601
2000-01-01 00:12:24,568
2000-01-01 00:12:25,534
2000-01-01 00:12:26,539
2000-01-01 00:12:27,568
2000-01-01 00:12:28,618
2000-01-01 00:12:29,660
2000-01-01 00:12:30,644
2000-01-01 00:12:31,608
2000-01-01 00:12:32,582
2000-01-01 00:12:33,552
2000-01-01 00:12:34,535
2000-01-01 00:12:35,540
2000-01-01 00:12:36,618
2000-01-01 00:12:37,674
2000-01-01 00:12:38,658
2000-01-01 00:12:39,650
2000-01-01 00:12:40,623
2000-01-01 00:12:41,602
2000-01-01 00:12:42,595
2000-01-01 00:12:43,578
2000-01-01 00:12:44,543
2000-01-01 00:12:45,505
2000-01-01 00:12:46,477
2000-01-01 00:12:47,482
2000-01-01 00:12:48,491
2000-01-01 00:12:49,504
2000-01-01 00:12:50,563
2000-01-01 00:12:51,530
2000-01-01 00:12:52,514
2000-01-01 00:12:53,553
2000-01-01 00:12:54,660
2000-01-01 00:12:55,813
2000-01-01 00:12:56,1068
2000-01-01 00:12:57,1210
2000-01-01 00:12:58,1420
2000-01-01 00:12:59,1579
2000-01-01 00:13:00,1617
2000-01-01 00:13:01,1538
2000-01-01 00:13:02,1456
2000-01-01 00:13:03,1388
2000-01-01 00:13:04,1223
2000-01-01 00:13:05,1041
2000-01-01 00:13:06,949
2000-01-01 00:13:07,865
2000-01-01 00:13:08,781
2000-01-01 00:13:09,679
2000-01-01 00:13:10,550
2000-01-01 00:13:11,497
2000-01-01 00:13:12,557
2000-01-01 00:13:13,629
2000-01-01 00:13:14,746
2000-01-01 00:13:15,760
2000-01-01 00:13:16,837
2000-01-01 00:13:17,1051
2000-01-01 00:13:18,1135
2000-01-01 00:13:19,1121
2000-01-01 00:13:20,1062
2000-01-01 00:13:21,1005
2000-01-01 00:13:22,870
2000-01-01 00:13:23,738
2000-01-01 00:13:24,633
2000-01-01 00:13:25,568
2000-01-01 00:13:26,582
2000-01-01 00:13:27,698
2000-01-01 00:13:28,705
2000-01-01 00:13:29,631
2000-01-01 00:13:30,601
2000-01-01 00:13:31,557
2000-01-01 00:13:32,583
2000-01-01 00:13:33,708
2000-01-01 00:13:34,794
2000-01-01 00:13:35,853
2000-01-01 00:13:36,878
2000-01-01 00:13:37,765
2000-01-01 00:13:38,788
2000-01-01 00:13:39,821
2000-01-01 00:13:40,917
2000-01-01 00:13:41,1072
2000-01-01 00:13:42,1181
2000-01-01 00:13:43,1303
2000-01-01 00:13:44,1441
2000-01-01 00:13:45,1459
2000-01-01 00:13:46,1373
2000-01-01 00:13:47,1308
2000-01-01 00:13:48,1377
2000-01-01 00:13:49,1485
2000-01-01 00:13:50,1516
2000-01-01 00:13:51,1571
2000-01-01 00:13:52,1593
2000-01-01 00:13:53,1539
2000-01-01 00:13:54,1570
2000-01-01 00:13:55,1629
2000-01-01 00:13:56,1718
2000-01-01 00:13:57,1742
2000-01-01 00:13:58,1699
2000-01-01 00:13:59,1693
2000-01-01 00:14:00,1771
2000-01-01 00:14:01,1798
2000-01-01 00:14:02,1886
2000-01-01 00:14:03,1945
2000-01-01 00:14:04,1966
2000-01-01 00:14:05,1956
2000-01-01 00:14:06,1950
2000-01-01 00:14:07,1965
2000-01-01 00:14:08,1971
2000-01-01 00:14:09,1963
2000-01-01 00:14:10,1962
2000-01-01 00:14:11,1950
2000-01-01 00:14:12,1954
2000-01-01 00:14:13,1949
2000-01-01 00:14:14,1939
2000-01-01 00:14:15,1879
2000-01-01 00:14:16,1876
2000-01-01 00:14:17,1863
2000-01-01 00:14:18,1842
2000-01-01 00:14:19,1784
2000-01-01 00:14:20,1727
2000-01-01 00:14:21,1638
2000-01-01 00:14:22,1550
2000-01-01 00:14:23,1472
2000-01-01 00:14:24,1407
2000-01-01 00:14:25,1273
2000-01-01 00:14:26,1193
2000-01-01 00:14:27,1046
2000-01-01 00:14:28,959
2000-01-01 00:14:29,967
2000-01-01 00:14:30,1037
2000-01-01 00:14:31,981
2000-01-01 00:14:32,864
2000-01-01 00:14:33,788
2000-01-01 00:14:34,701
2000-01-01 00:14:35,616
2000-01-01 00:14:36,576
2000-01-01 00:14:37,583
2000-01-01 00:14:38,603
2000-01-01 00:14:39,591
2000-01-01 00:14:40,593
2000-01-01 00:14:41,605
2000-01-01 00:14:42,647
2000-01-01 00:14:43,731
2000-01-01 00:14:44,801
2000-01-01 00:14:45,833
2000-01-01 00:14:46,917
2000-01-01 00:14:47,1089
2000-01-01 00:14:48,1369
2000-01-01 00:14:49,1540
2000-01-01 00:14:50,1633
2000-01-01 00:14:51,1694
2000-01-01 00:14:52,1722
2000-01-01 00:14:53,1697
2000-01-01 00:14:54,1732
2000-01-01 00:14:55,1823
2000-01-01 00:14:56,1897
2000-01-01 00:14:57,1916
2000-01-01 00:14:58,1938
2000-01-01 00:14:59,1955
2000-01-01 00:15:00,1954
2000-01-01 00:15:01,1961
2000-01-01 00:15:02,1927
2000-01-01 00:15:03,1924
2000-01-01 00:15:04,1895
2000-01-01 00:15:05,1854
2000-01-01 00:15:06,1817
2000-01-01 00:15:07,1774
