Time,Bits/s
2000-01-01 00:12:40,7106
2000-01-01 00:12:41,7048
2000-01-01 00:12:42,7289
2000-01-01 00:12:43,7298
2000-01-01 00:12:44,7342
2000-01-01 00:12:45,7301
2000-01-01 00:12:46,7363
2000-01-01 00:12:47,7281
2000-01-01 00:12:48,6658
2000-01-01 00:12:49,6717
2000-01-01 00:12:50,6962
2000-01-01 00:12:51,7065
2000-01-01 00:12:52,6619
2000-01-01 00:12:53,6462
2000-01-01 00:12:54,6542
2000-01-01 00:12:55,6616
2000-01-01 00:12:56,6460
2000-01-01 00:12:57,6419
2000-01-01 00:12:58,6468
2000-01-01 00:12:59,6525
2000-01-01 00:13:00,6678
2000-01-01 00:13:01,6401
2000-01-01 00:13:02,6586
2000-01-01 00:13:03,6437
2000-01-01 00:13:04,6335
2000-01-01 00:13:05,6483
2000-01-01 00:13:06,6343
2000-01-01 00:13:07,6432
2000-01-01 00:13:08,6806
2000-01-01 00:13:09,7079
2000-01-01 00:13:10,7020
2000-01-01 00:13:11,7004
2000-01-01 00:13:12,7218
2000-01-01 00:13:13,7219
2000-01-01 00:13:14,6825
2000-01-01 00:13:15,6762
2000-01-01 00:13:16,7252
2000-01-01 00:13:17,7029
2000-01-01 00:13:18,6721
2000-01-01 00:13:19,6543
2000-01-01 00:13:20,7141
2000-01-01 00:13:21,6992
2000-01-01 00:13:22,6834
2000-01-01 00:13:23,6822
2000-01-01 00:13:24,6860
2000-01-01 00:13:25,6555
2000-01-01 00:13:26,6658
2000-01-01 00:13:27,6928
2000-01-01 00:13:28,6654
2000-01-01 00:13:29,6607
2000-01-01 00:13:30,6395
2000-01-01 00:13:31,6306
2000-01-01 00:13:32,5955
2000-01-01 00:13:33,5993
2000-01-01 00:13:34,6140
2000-01-01 00:13:35,6181
2000-01-01 00:13:36,5929
2000-01-01 00:13:37,6136
2000-01-01 00:13:38,5990
2000-01-01 00:13:39,5892
2000-01-01 00:13:40,5892
2000-01-01 00:13:41,6121
2000-01-01 00:13:42,6297
2000-01-01 00:13:43,6274
2000-01-01 00:13:44,6606
2000-01-01 00:13:45,6573
2000-01-01 00:13:46,6614
2000-01-01 00:13:47,6538
2000-01-01 00:13:48,6280
2000-01-01 00:13:49,6190
2000-01-01 00:13:50,6234
2000-01-01 00:13:51,6209
2000-01-01 00:13:52,6870
2000-01-01 00:13:53,6870
2000-01-01 00:13:54,6754
2000-01-01 00:13:55,6608
2000-01-01 00:13:56,6777
2000-01-01 00:13:57,6625
2000-01-01 00:13:58,6780
2000-01-01 00:13:59,6888
2000-01-01 00:14:00,6815
2000-01-01 00:14:01,6603
2000-01-01 00:14:02,6692
2000-01-01 00:14:03,6746
2000-01-01 00:14:04,6393
2000-01-01 00:14:05,6259
2000-01-01 00:14:06,6480
2000-01-01 00:14:07,6397
2000-01-01 00:14:08,5710
2000-01-01 00:14:09,5581
2000-01-01 00:14:10,5811
2000-01-01 00:14:11,5706
2000-01-01 00:14:12,5270
2000-01-01 00:14:13,5369
2000-01-01 00:14:14,5495
2000-01-01 00:14:15,5508
2000-01-01 00:14:16,5274
2000-01-01 00:14:17,5531
2000-01-01 00:14:18,5696
2000-01-01 00:14:19,5880
2000-01-01 00:14:20,5551
2000-01-01 00:14:21,5528
2000-01-01 00:14:22,5703
2000-01-01 00:14:23,5726
2000-01-01 00:14:24,5581
2000-01-01 00:14:25,5658
2000-01-01 00:14:26,5853
2000-01-01 00:14:27,5831
2000-01-01 00:14:28,5546
2000-01-01 00:14:29,5714
2000-01-01 00:14:30,5700
2000-01-01 00:14:31,5673
